Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,2.149165,2.173495,2.043734,2.072119,0.002789,33965600
1972-07-01,2.072119,2.112669,1.978854,2.096449,0.002822,21198100
1972-08-01,2.096449,2.258651,2.076174,2.185660,0.002973,38660500
1972-09-01,2.185660,2.201880,2.043734,2.161330,0.002940,18984700
1972-10-01,2.161330,2.173495,2.059954,2.149165,0.002924,25303000
1972-11-01,2.161330,2.558723,2.161330,2.445182,0.003361,72941700
1972-12-01,2.445182,2.591163,2.388412,2.583053,0.003550,43128200
1973-01-01,2.583053,2.672263,2.384356,2.408687,0.003311,60719400
1973-02-01,2.408687,2.416797,2.116725,2.141055,0.002970,51763900
1973-03-01,2.141055,2.185660,1.950468,2.055899,0.002852,35250800
1973-04-01,2.055899,2.153220,1.946413,1.991019,0.002762,35603300
1973-05-01,1.991019,2.092394,1.800432,1.857203,0.002605,55339000
1973-06-01,1.857203,1.913973,1.723387,1.772047,0.002485,42377000
1973-07-01,1.763937,1.877478,1.707167,1.824763,0.002559,47934400
1973-08-01,1.816653,1.816653,1.707167,1.792322,0.002559,29079600
1973-09-01,1.792322,2.019404,1.755827,1.942358,0.002773,38378800
1973-10-01,1.942358,2.023459,1.678782,1.699057,0.002426,43898800
1973-11-01,1.699057,1.699057,1.370600,1.370600,0.001985,63294100
1973-12-01,1.370600,1.427370,1.253004,1.313829,0.001903,56625600
1974-01-01,1.313829,1.508470,1.277334,1.476030,0.002138,44655800
1974-02-01,1.476030,1.524691,1.394930,1.520635,0.002241,27854300
1974-03-01,1.520635,1.715277,1.504415,1.593626,0.002349,43088300
1974-04-01,1.593626,1.711222,1.565241,1.601736,0.002361,30971500
1974-05-01,1.601736,1.707167,1.553076,1.678782,0.002514,32206600
1974-06-01,1.678782,1.763937,1.589571,1.589571,0.002380,29716000
1974-07-01,1.589571,1.605791,1.403040,1.419260,0.002125,26833500
1974-08-01,1.419260,1.488195,1.196233,1.289499,0.001963,23336000
1974-09-01,1.289499,1.317884,1.163793,1.196233,0.001821,23953800
1974-10-01,1.196233,1.224618,0.932656,1.046197,0.001593,58132200
1974-11-01,1.046197,1.131353,0.977262,1.001592,0.001565,32137900
1974-12-01,1.001592,1.119188,0.973207,1.082693,0.001691,30341500
1975-01-01,1.086748,1.220563,1.086748,1.192178,0.001862,30557500
1975-02-01,1.192178,1.212453,1.050252,1.070527,0.001711,49364100
1975-03-01,1.070527,1.248949,1.062417,1.204343,0.001924,48741400
1975-04-01,1.204343,1.244894,1.119188,1.167848,0.001866,29854600
1975-05-01,1.175958,1.301664,1.151628,1.200288,0.001949,42830900
1975-06-01,1.200288,1.342214,1.135408,1.334104,0.002167,36043000
1975-07-01,1.330049,1.378710,1.224618,1.265169,0.002055,30496500
1975-08-01,1.265169,1.293554,1.224618,1.281389,0.002113,19573800
1975-09-01,1.281389,1.281389,1.135408,1.175958,0.001939,27285400
1975-10-01,1.175958,1.350324,1.155683,1.305719,0.002153,35327500
1975-11-01,1.305719,1.467920,1.305719,1.386820,0.002320,26876100
1975-12-01,1.386820,1.455755,1.334104,1.427370,0.002388,31861700
1976-01-01,1.427370,1.695002,1.415205,1.609846,0.002694,73699800
1976-02-01,1.609846,1.731497,1.585516,1.658506,0.002808,43017800
1976-03-01,1.658506,1.869368,1.646341,1.849093,0.003130,74866200
1976-04-01,1.849093,1.974799,1.832873,1.926138,0.003261,68898000
1976-05-01,1.918028,1.926138,1.743662,1.780157,0.003044,44672100
1976-06-01,1.780157,1.946413,1.772047,1.897753,0.003245,58725500
1976-07-01,1.897753,1.942358,1.796377,1.832873,0.003134,57392000
1976-08-01,1.832873,1.881533,1.690947,1.796377,0.003116,40828700
1976-09-01,1.800432,1.962633,1.772047,1.926138,0.003341,56239200
1976-10-01,1.926138,1.934248,1.788267,1.840983,0.003193,46056000
1976-11-01,1.840983,1.889643,1.759882,1.772047,0.003118,48389800
1976-12-01,1.772047,2.007239,1.772047,1.995074,0.003510,65621300
1977-01-01,1.978854,1.999129,1.897753,1.962633,0.003453,48294700
1977-02-01,1.962633,1.962633,1.784212,1.877478,0.003348,55440700
1977-03-01,1.877478,1.938303,1.755827,1.755827,0.003131,55984500
1977-04-01,1.763937,1.877478,1.715277,1.800432,0.003210,96090700
1977-05-01,1.800432,1.840983,1.735552,1.763937,0.003203,56399300
1977-06-01,1.763937,1.900794,1.759882,1.900794,0.003451,51953300
1977-07-01,1.900794,1.921070,1.779144,1.804487,0.003276,46415200
1977-08-01,1.804487,1.824763,1.677768,1.769006,0.003269,49984800
1977-09-01,1.769006,1.875450,1.748731,1.875450,0.003466,50402900
1977-10-01,1.875450,1.875450,1.713249,1.738593,0.003213,46252400
1977-11-01,1.738593,1.860244,1.698043,1.753800,0.003299,44661900
1977-12-01,1.753800,1.855175,1.743662,1.855175,0.003490,49348400
1978-01-01,1.850106,1.850106,1.622011,1.698043,0.003195,46578600
1978-02-01,1.698043,1.743662,1.667630,1.708181,0.003276,28606500
1978-03-01,1.708181,1.845038,1.703112,1.845038,0.003538,56100500
1978-04-01,1.845038,2.073133,1.824763,2.073133,0.003975,85298100
1978-05-01,2.073133,2.103546,1.966689,2.007239,0.003920,59926000
1978-06-01,2.007239,2.062995,1.850106,1.890657,0.003692,62680900
1978-07-01,1.890657,1.916001,1.799419,1.834900,0.003583,36579900
1978-08-01,1.834900,1.981895,1.758868,1.784212,0.003554,59854000
1978-09-01,1.784212,1.890657,1.784212,1.845038,0.003675,60774400
1978-10-01,1.845038,1.870382,1.606805,1.622011,0.003231,57563200
1978-11-01,1.662561,1.703112,1.581461,1.667630,0.003392,60029500
1978-12-01,1.667630,1.713249,1.606805,1.708181,0.003474,60849600
1979-01-01,1.708181,1.824763,1.642286,1.657493,0.003371,54395700
1979-02-01,1.657493,1.698043,1.616942,1.667630,0.003466,41022700
1979-03-01,1.672699,1.799419,1.662561,1.779144,0.003697,60209800
1979-04-01,1.774075,1.839969,1.758868,1.809556,0.003761,45831800
1979-05-01,1.809556,1.819694,1.682837,1.723387,0.003663,41240100
1979-06-01,1.723387,1.789281,1.713249,1.728456,0.003674,50959500
1979-07-01,1.723387,1.774075,1.652424,1.703112,0.003620,43015600
1979-08-01,1.703112,1.763937,1.672699,1.748731,0.003805,49121900
1979-09-01,1.753800,1.799419,1.723387,1.774075,0.003860,62115000
1979-10-01,1.748731,1.758868,1.475016,1.495292,0.003254,74857000
1979-11-01,1.495292,1.510498,1.191164,1.241852,0.002776,100603400
1979-12-01,1.241852,1.388847,1.241852,1.297609,0.002900,82225900
1980-01-01,1.297609,1.449672,1.257059,1.368572,0.003059,76962300
1980-02-01,1.368572,1.388847,1.226646,1.236784,0.002846,53441900
1980-03-01,1.236784,1.251990,1.069514,1.181027,0.002717,86304400
1980-04-01,1.181027,1.186096,0.866762,0.988413,0.002274,100197700
1980-05-01,0.983344,1.044170,0.856625,0.993482,0.002382,80636200
1980-06-01,0.993482,1.023895,0.907313,0.998551,0.002394,119306300
1980-07-01,0.998551,1.175958,0.993482,1.155683,0.002771,108847300
1980-08-01,1.155683,1.165821,1.099926,1.120201,0.002717,80721100
1980-09-01,1.120201,1.246921,1.110064,1.120201,0.002717,70722200
1980-10-01,1.120201,1.170889,0.998551,1.044170,0.002533,69185300
1980-11-01,1.044170,1.059376,0.892106,0.907313,0.002227,70738200
1980-12-01,0.907313,0.912381,0.734974,0.811006,0.001991,135888500
1981-01-01,0.816074,0.887037,0.750180,0.800868,0.001966,65180700
1981-02-01,0.800868,0.856625,0.770455,0.795799,0.001985,43990500
1981-03-01,0.795799,1.054307,0.795799,0.973207,0.002427,97001500
1981-04-01,0.968138,0.988413,0.861693,0.866762,0.002161,72460500
1981-05-01,0.866762,0.963069,0.846487,0.932656,0.002355,57393400
1981-06-01,0.942794,1.013757,0.902244,0.968138,0.002445,53909400
1981-07-01,0.968138,0.968138,0.851556,0.876900,0.002214,41002500
1981-08-01,0.876900,0.887037,0.785662,0.800868,0.002050,37765600
1981-09-01,0.800868,0.826212,0.760318,0.800868,0.002050,52026700
1981-10-01,0.800868,0.821143,0.638667,0.658942,0.001686,50868600
1981-11-01,0.669080,0.699492,0.648804,0.674148,0.001756,58763800
1981-12-01,0.674148,0.775524,0.669080,0.679217,0.001769,126196500
1982-01-01,0.689355,0.760318,0.679217,0.740043,0.001927,91184400
1982-02-01,0.740043,0.780593,0.674148,0.775524,0.002020,63239400
1982-03-01,0.800868,0.876900,0.760318,0.841418,0.002191,121845400
1982-04-01,0.856625,0.952932,0.831281,0.917450,0.002389,97634100
1982-05-01,0.927588,1.003619,0.902244,0.922519,0.002403,101880400
1982-06-01,0.912381,0.998551,0.871831,0.973207,0.002535,149264900
1982-07-01,0.952932,1.003619,0.892106,0.917450,0.002389,115320300
1982-08-01,0.942794,1.155683,0.881969,1.115133,0.002904,249622600
1982-09-01,1.115133,1.206371,1.034032,1.039101,0.002706,176300900
1982-10-01,1.039101,1.312815,1.039101,1.292540,0.003366,245901600
1982-11-01,1.287471,1.388847,1.165821,1.338159,0.003485,194934400
1982-12-01,1.373641,1.687905,1.338159,1.576392,0.004105,283746800
1983-01-01,1.556117,1.652424,1.388847,1.606805,0.004185,158480500
1983-02-01,1.611874,1.743662,1.540911,1.545979,0.004026,170668900
1983-03-01,1.596667,1.713249,1.540911,1.632149,0.004251,169524000
1983-04-01,1.622011,2.088339,1.530773,2.083271,0.005425,306488500
1983-05-01,2.047789,2.144096,1.880519,1.905863,0.004963,211320000
1983-06-01,1.916001,2.402604,1.905863,2.291091,0.005967,236590500
1983-07-01,2.301228,2.585080,2.123821,2.438086,0.006349,249423100
1983-08-01,2.412742,2.443154,2.103546,2.311366,0.006049,227439000
1983-09-01,2.377260,2.656043,2.336710,2.503980,0.006553,306345500
1983-10-01,2.498911,2.843588,2.443154,2.691525,0.007044,314715600
1983-11-01,2.691525,2.711800,2.493842,2.503980,0.006596,226110300
1983-12-01,2.493842,2.706731,2.433017,2.577477,0.006789,148507300
1984-01-01,2.585080,2.828382,2.478636,2.486239,0.006549,168236500
1984-02-01,2.501445,2.509048,2.106080,2.265747,0.006009,306748100
1984-03-01,2.235334,2.486239,2.151699,2.227731,0.005909,258515900
1984-04-01,2.265747,2.288556,2.007239,2.227731,0.005909,274491400
1984-05-01,2.258144,2.326572,2.068064,2.242937,0.006018,297584800
1984-06-01,2.250540,2.379795,2.106080,2.189715,0.005875,211459600
1984-07-01,2.197318,2.402604,2.166906,2.395001,0.006426,264173900
1984-08-01,2.410207,2.912017,2.410207,2.607890,0.007072,412176400
1984-09-01,2.615493,2.919620,2.585080,2.782763,0.007546,220292200
1984-10-01,2.752350,3.124906,2.638303,2.858795,0.007752,267000300
1984-11-01,2.874001,2.965239,2.668715,2.744747,0.007503,195907800
1984-12-01,2.729541,2.828382,2.569874,2.775160,0.007668,230410300
1985-01-01,2.775160,3.117303,2.615493,2.965239,0.008194,337398900
